drug_name,side_effect,side_effect_1,side_effect_2,side_effect_3,side_effect_4,disease_name,clinical_trial_address_1
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Lupus nephritis, susceptibility to",University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Lymphoma, progression of",UAB Dermatology
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Lymphoma, progression of",University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Malaria, cerebral, susceptibility to",UAB Dermatology
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Malaria, cerebral, susceptibility to",University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Migraine without aura, susceptibility to, 157300",UAB Dermatology
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Migraine without aura, susceptibility to, 157300",University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Myocardial infarction, susceptibility to",UAB Dermatology
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Myocardial infarction, susceptibility to",University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Neutropenia, alloimmune neonatal",UAB Dermatology
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Neutropenia, alloimmune neonatal",University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Septic shock, susceptibility to",UAB Dermatology
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Septic shock, susceptibility to",University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Viral infections, recurrent",UAB Dermatology
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Viral infections, recurrent",University of Michigan Cancer Center
urokinase,back pain,fever,nausea,melanoma,vasodilatation,Alzheimer disease,University of Michigan Cancer Center
urokinase,back pain,fever,nausea,melanoma,vasodilatation,"Conjunctivitis, ligneous",University of Michigan Cancer Center
urokinase,back pain,fever,nausea,melanoma,vasodilatation,Plasminogen deficiency,University of Michigan Cancer Center
urokinase,back pain,fever,nausea,melanoma,vasodilatation,"Alzheimer disease, late-onset, susceptibility to, 104300",University of Michigan Cancer Center
urokinase,back pain,fever,nausea,melanoma,vasodilatation,"Conjunctivitis, ligneous, 217090",University of Michigan Cancer Center
urokinase,back pain,fever,nausea,melanoma,vasodilatation,Plasminogen Tochigi disease,University of Michigan Cancer Center
abciximab,back pain,fever,nausea,melanoma,vasodilatation,Complementary component deficiency,"Cardiothoracic Department, Ospedale Cisanello"
abciximab,back pain,fever,nausea,melanoma,vasodilatation,Glanzmann thrombasthenia,"Cardiothoracic Department, Ospedale Cisanello"
abciximab,back pain,fever,nausea,melanoma,vasodilatation,"IgG receptor I, phagocytic, familial deficiency of","Cardiothoracic Department, Ospedale Cisanello"
abciximab,back pain,fever,nausea,melanoma,vasodilatation,Lupus erythematosus,"Cardiothoracic Department, Ospedale Cisanello"
abciximab,back pain,fever,nausea,melanoma,vasodilatation,Lymphoma,"Cardiothoracic Department, Ospedale Cisanello"
abciximab,back pain,fever,nausea,melanoma,vasodilatation,Neutropenia,"Cardiothoracic Department, Ospedale Cisanello"
abciximab,back pain,fever,nausea,melanoma,vasodilatation,Viral infection,"Cardiothoracic Department, Ospedale Cisanello"
abciximab,back pain,fever,nausea,melanoma,vasodilatation,"C1q deficiency, type A","Cardiothoracic Department, Ospedale Cisanello"
abciximab,back pain,fever,nausea,melanoma,vasodilatation,"C1q deficiency, type B","Cardiothoracic Department, Ospedale Cisanello"
abciximab,back pain,fever,nausea,melanoma,vasodilatation,"C1s deficiency, isolated","Cardiothoracic Department, Ospedale Cisanello"
abciximab,back pain,fever,nausea,melanoma,vasodilatation,"Glanzmann thrombasthenia, type B","Cardiothoracic Department, Ospedale Cisanello"
hydrocortisone,back pain,fever,nausea,melanoma,vasodilatation,Asthma,Raymond Poincaré hospital
hydrocortisone,back pain,fever,nausea,melanoma,vasodilatation,Atherosclerosis,Raymond Poincaré hospital
hydrocortisone,back pain,fever,nausea,melanoma,vasodilatation,Cortisol resistance,Raymond Poincaré hospital
hydrocortisone,back pain,fever,nausea,melanoma,vasodilatation,Malaria,Raymond Poincaré hospital
hydrocortisone,back pain,fever,nausea,melanoma,vasodilatation,Obesity,Raymond Poincaré hospital
hydrocortisone,back pain,fever,nausea,melanoma,vasodilatation,"Asthma, dimished response to antileukotriene treatment in, 600807",Raymond Poincaré hospital
hydrocortisone,back pain,fever,nausea,melanoma,vasodilatation,"Atherosclerosis, susceptibility to",Raymond Poincaré hospital
hydrocortisone,back pain,fever,nausea,melanoma,vasodilatation,"Malaria, resistance to, 248310",Raymond Poincaré hospital
hydrocortisone,back pain,fever,nausea,melanoma,vasodilatation,"Obesity, adrenal insufficiency, and red hair",Raymond Poincaré hospital
