drug_name,side_effect,side_effect_2,side_effect_3,side_effect_4,disease_name,drug_category
abciximab,back pain,nausea,melanoma,vasodilatation,Neutropenia,Anticoagulants
abciximab,back pain,nausea,melanoma,vasodilatation,Neutropenia,Antiplatelet agents
abciximab,back pain,nausea,melanoma,vasodilatation,Viral infection,Anticoagulants
abciximab,back pain,nausea,melanoma,vasodilatation,Viral infection,Antiplatelet agents
abciximab,back pain,nausea,melanoma,vasodilatation,"C1q deficiency, type A",Anticoagulants
abciximab,back pain,nausea,melanoma,vasodilatation,"C1q deficiency, type A",Antiplatelet agents
abciximab,back pain,nausea,melanoma,vasodilatation,"C1q deficiency, type B",Anticoagulants
abciximab,back pain,nausea,melanoma,vasodilatation,"C1q deficiency, type B",Antiplatelet agents
abciximab,back pain,nausea,melanoma,vasodilatation,"C1s deficiency, isolated",Anticoagulants
abciximab,back pain,nausea,melanoma,vasodilatation,"C1s deficiency, isolated",Antiplatelet agents
abciximab,back pain,nausea,melanoma,vasodilatation,"Glanzmann thrombasthenia, type B",Anticoagulants
abciximab,back pain,nausea,melanoma,vasodilatation,"Glanzmann thrombasthenia, type B",Antiplatelet agents
hydrocortisone,back pain,nausea,melanoma,vasodilatation,Asthma,Anti-inflammatory agents
hydrocortisone,back pain,nausea,melanoma,vasodilatation,Atherosclerosis,Anti-inflammatory agents
hydrocortisone,back pain,nausea,melanoma,vasodilatation,Cortisol resistance,Anti-inflammatory agents
hydrocortisone,back pain,nausea,melanoma,vasodilatation,Malaria,Anti-inflammatory agents
hydrocortisone,back pain,nausea,melanoma,vasodilatation,Obesity,Anti-inflammatory agents
hydrocortisone,back pain,nausea,melanoma,vasodilatation,"Asthma, dimished response to antileukotriene treatment in, 600807",Anti-inflammatory agents
hydrocortisone,back pain,nausea,melanoma,vasodilatation,"Atherosclerosis, susceptibility to",Anti-inflammatory agents
hydrocortisone,back pain,nausea,melanoma,vasodilatation,"Malaria, resistance to, 248310",Anti-inflammatory agents
hydrocortisone,back pain,nausea,melanoma,vasodilatation,"Obesity, adrenal insufficiency, and red hair",Anti-inflammatory agents
