drug_name,side_effect,side_effect_1,side_effect_2,side_effect_3,side_effect_4,disease_name,clinical_trial_start_date
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"C1q deficiency, type A",2009.03.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"C1q deficiency, type B",2007.09.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"C1q deficiency, type B",2009.03.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"C1s deficiency, isolated",2007.09.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"C1s deficiency, isolated",2009.03.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Dementia, vascular, susceptibility to",2007.09.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Dementia, vascular, susceptibility to",2009.03.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Lupus nephritis, susceptibility to",2007.09.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Lupus nephritis, susceptibility to",2009.03.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Lymphoma, progression of",2007.09.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Lymphoma, progression of",2009.03.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Malaria, cerebral, susceptibility to",2007.09.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Malaria, cerebral, susceptibility to",2009.03.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Migraine without aura, susceptibility to, 157300",2007.09.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Migraine without aura, susceptibility to, 157300",2009.03.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Myocardial infarction, susceptibility to",2007.09.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Myocardial infarction, susceptibility to",2009.03.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Neutropenia, alloimmune neonatal",2007.09.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Neutropenia, alloimmune neonatal",2009.03.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Septic shock, susceptibility to",2007.09.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Septic shock, susceptibility to",2009.03.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Viral infections, recurrent",2007.09.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Viral infections, recurrent",2009.03.01
urokinase,back pain,fever,nausea,melanoma,vasodilatation,Alzheimer disease,2009.03.01
urokinase,back pain,fever,nausea,melanoma,vasodilatation,"Conjunctivitis, ligneous",2009.03.01
urokinase,back pain,fever,nausea,melanoma,vasodilatation,Plasminogen deficiency,2009.03.01
urokinase,back pain,fever,nausea,melanoma,vasodilatation,"Alzheimer disease, late-onset, susceptibility to, 104300",2009.03.01
urokinase,back pain,fever,nausea,melanoma,vasodilatation,"Conjunctivitis, ligneous, 217090",2009.03.01
urokinase,back pain,fever,nausea,melanoma,vasodilatation,Plasminogen Tochigi disease,2009.03.01
abciximab,back pain,fever,nausea,melanoma,vasodilatation,Complementary component deficiency,2006.04.01
abciximab,back pain,fever,nausea,melanoma,vasodilatation,Glanzmann thrombasthenia,2006.04.01
abciximab,back pain,fever,nausea,melanoma,vasodilatation,"IgG receptor I, phagocytic, familial deficiency of",2006.04.01
abciximab,back pain,fever,nausea,melanoma,vasodilatation,Lupus erythematosus,2006.04.01
abciximab,back pain,fever,nausea,melanoma,vasodilatation,Lymphoma,2006.04.01
abciximab,back pain,fever,nausea,melanoma,vasodilatation,Neutropenia,2006.04.01
abciximab,back pain,fever,nausea,melanoma,vasodilatation,Viral infection,2006.04.01
abciximab,back pain,fever,nausea,melanoma,vasodilatation,"C1q deficiency, type A",2006.04.01
abciximab,back pain,fever,nausea,melanoma,vasodilatation,"C1q deficiency, type B",2006.04.01
abciximab,back pain,fever,nausea,melanoma,vasodilatation,"C1s deficiency, isolated",2006.04.01
abciximab,back pain,fever,nausea,melanoma,vasodilatation,"Glanzmann thrombasthenia, type B",2006.04.01
hydrocortisone,back pain,fever,nausea,melanoma,vasodilatation,Asthma,2010.03.01
hydrocortisone,back pain,fever,nausea,melanoma,vasodilatation,Atherosclerosis,2010.03.01
hydrocortisone,back pain,fever,nausea,melanoma,vasodilatation,Cortisol resistance,2010.03.01
hydrocortisone,back pain,fever,nausea,melanoma,vasodilatation,Malaria,2010.03.01
hydrocortisone,back pain,fever,nausea,melanoma,vasodilatation,Obesity,2010.03.01
hydrocortisone,back pain,fever,nausea,melanoma,vasodilatation,"Asthma, dimished response to antileukotriene treatment in, 600807",2010.03.01
hydrocortisone,back pain,fever,nausea,melanoma,vasodilatation,"Atherosclerosis, susceptibility to",2010.03.01
hydrocortisone,back pain,fever,nausea,melanoma,vasodilatation,"Malaria, resistance to, 248310",2010.03.01
hydrocortisone,back pain,fever,nausea,melanoma,vasodilatation,"Obesity, adrenal insufficiency, and red hair",2010.03.01
