drug_name,side_effect,side_effect_1,side_effect_2,side_effect_3,side_effect_4,disease_name,clinical_trial_participants
denileukin diftitox,dizziness,headache,pain,dehydration,vasodilatation,"Combined immunodeficiency, X-linked, moderate, 312863",41
denileukin diftitox,dizziness,headache,pain,dehydration,vasodilatation,"Severe combined immunodeficiency, X-linked, 300400",41
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Asthma,6
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Asthma,48
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Complementary component deficiency,6
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Complementary component deficiency,48
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Dementia,6
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Dementia,48
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"IgG receptor I, phagocytic, familial deficiency of",6
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"IgG receptor I, phagocytic, familial deficiency of",48
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Lupus erythematosus,6
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Lupus erythematosus,48
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Lymphoma,6
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Lymphoma,48
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Malaria,6
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Malaria,48
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Migraine,6
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Migraine,48
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Myocardial infarction,6
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Myocardial infarction,48
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Neutropenia,6
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Neutropenia,48
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Sepsis,6
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Sepsis,48
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Viral infection,6
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Viral infection,48
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Asthma, susceptibility to, 600807",6
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Asthma, susceptibility to, 600807",48
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"C1q deficiency, type A",6
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"C1q deficiency, type A",48
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"C1q deficiency, type B",6
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"C1q deficiency, type B",48
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"C1s deficiency, isolated",6
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"C1s deficiency, isolated",48
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Dementia, vascular, susceptibility to",6
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Dementia, vascular, susceptibility to",48
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Lupus nephritis, susceptibility to",6
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Lupus nephritis, susceptibility to",48
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Lymphoma, progression of",6
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Lymphoma, progression of",48
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Malaria, cerebral, susceptibility to",6
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Malaria, cerebral, susceptibility to",48
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Migraine without aura, susceptibility to, 157300",6
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Migraine without aura, susceptibility to, 157300",48
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Myocardial infarction, susceptibility to",6
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Myocardial infarction, susceptibility to",48
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Neutropenia, alloimmune neonatal",6
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Neutropenia, alloimmune neonatal",48
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Septic shock, susceptibility to",6
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Septic shock, susceptibility to",48
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Viral infections, recurrent",6
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Viral infections, recurrent",48
urokinase,back pain,fever,nausea,melanoma,vasodilatation,Alzheimer disease,48
urokinase,back pain,fever,nausea,melanoma,vasodilatation,"Conjunctivitis, ligneous",48
urokinase,back pain,fever,nausea,melanoma,vasodilatation,Plasminogen deficiency,48
urokinase,back pain,fever,nausea,melanoma,vasodilatation,"Alzheimer disease, late-onset, susceptibility to, 104300",48
urokinase,back pain,fever,nausea,melanoma,vasodilatation,"Conjunctivitis, ligneous, 217090",48
urokinase,back pain,fever,nausea,melanoma,vasodilatation,Plasminogen Tochigi disease,48
abciximab,back pain,fever,nausea,melanoma,vasodilatation,Complementary component deficiency,110
abciximab,back pain,fever,nausea,melanoma,vasodilatation,Glanzmann thrombasthenia,110
abciximab,back pain,fever,nausea,melanoma,vasodilatation,"IgG receptor I, phagocytic, familial deficiency of",110
abciximab,back pain,fever,nausea,melanoma,vasodilatation,Lupus erythematosus,110
abciximab,back pain,fever,nausea,melanoma,vasodilatation,Lymphoma,110
abciximab,back pain,fever,nausea,melanoma,vasodilatation,Neutropenia,110
abciximab,back pain,fever,nausea,melanoma,vasodilatation,Viral infection,110
abciximab,back pain,fever,nausea,melanoma,vasodilatation,"C1q deficiency, type A",110
abciximab,back pain,fever,nausea,melanoma,vasodilatation,"C1q deficiency, type B",110
abciximab,back pain,fever,nausea,melanoma,vasodilatation,"C1s deficiency, isolated",110
abciximab,back pain,fever,nausea,melanoma,vasodilatation,"Glanzmann thrombasthenia, type B",110
hydrocortisone,back pain,fever,nausea,melanoma,vasodilatation,Asthma,40
hydrocortisone,back pain,fever,nausea,melanoma,vasodilatation,Atherosclerosis,40
hydrocortisone,back pain,fever,nausea,melanoma,vasodilatation,Cortisol resistance,40
hydrocortisone,back pain,fever,nausea,melanoma,vasodilatation,Malaria,40
hydrocortisone,back pain,fever,nausea,melanoma,vasodilatation,Obesity,40
hydrocortisone,back pain,fever,nausea,melanoma,vasodilatation,"Asthma, dimished response to antileukotriene treatment in, 600807",40
hydrocortisone,back pain,fever,nausea,melanoma,vasodilatation,"Atherosclerosis, susceptibility to",40
hydrocortisone,back pain,fever,nausea,melanoma,vasodilatation,"Malaria, resistance to, 248310",40
hydrocortisone,back pain,fever,nausea,melanoma,vasodilatation,"Obesity, adrenal insufficiency, and red hair",40
